title,views,date_time,video_link,thumbnail_link
...And We'll Do it Again,13M views,3 years ago,https://www.youtube.com/watch?v=XFqn3uy238E,https://i.ytimg.com/vi/XFqn3uy238E/hqdefault.jpg
Is Meat Really that Bad?,8.5M views,3 years ago,https://www.youtube.com/watch?v=F1Hq8eVOMHs,https://i.ytimg.com/vi/F1Hq8eVOMHs/hqdefault.jpg
You Are Immune Against Every Disease,18M views,3 years ago,https://www.youtube.com/watch?v=LmpuerlbJu0,https://i.ytimg.com/vi/LmpuerlbJu0/hqdefault.jpg
What Dinosaurs ACTUALLY Looked Like?,14M views,3 years ago,https://www.youtube.com/watch?v=xaQJbozY_Is,https://i.ytimg.com/vi/xaQJbozY_Is/hqdefault.jpg
Two Chapters From Our New Book – Exclusive Preview!,2M views,3 years ago,https://www.youtube.com/watch?v=0FRVx_c9T0c,https://i.ytimg.com/vi/0FRVx_c9T0c/hqdefault.jpg
Can YOU Fix Climate Change?,13M views,3 years ago,https://www.youtube.com/watch?v=yiw6_JakZFc&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/yiw6_JakZFc/hqdefault.jpg
This Virus Shouldn't Exist (But it Does),23M views,3 years ago,https://www.youtube.com/watch?v=1-NxodiGPCU,https://i.ytimg.com/vi/1-NxodiGPCU/hqdefault.jpg
How The Immune System ACTUALLY Works – IMMUNE,24M views,3 years ago,https://www.youtube.com/watch?v=lXfEK8G8CUI,https://i.ytimg.com/vi/lXfEK8G8CUI/hqdefault.jpg
The Largest Black Hole in the Universe - Size Comparison,30M views,3 years ago,https://www.youtube.com/watch?v=0FH9cgRhQ-k&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/0FH9cgRhQ-k/hqdefault.jpg
How To Terraform Venus (Quickly),21M views,4 years ago,https://www.youtube.com/watch?v=G-WO-z-QuWI,https://i.ytimg.com/vi/G-WO-z-QuWI/hqdefault.jpg
The Day the Dinosaurs Died – Minute by Minute,21M views,4 years ago,https://www.youtube.com/watch?v=dFCbJmgeHmA,https://i.ytimg.com/vi/dFCbJmgeHmA/hqdefault.jpg
When This Number Hits 5200 - You Will be Dead,12M views,4 years ago,https://www.youtube.com/watch?v=JXeJANDKwDc,https://i.ytimg.com/vi/JXeJANDKwDc/hqdefault.jpg
TRUE Limits Of Humanity – The Final Border We Will Never Cross,22M views,4 years ago,https://www.youtube.com/watch?v=uzkD5SeuwzM,https://i.ytimg.com/vi/uzkD5SeuwzM/hqdefault.jpg
What If You Fall into a Black Hole?,18M views,4 years ago,https://www.youtube.com/watch?v=QqsLTNkzvaY,https://i.ytimg.com/vi/QqsLTNkzvaY/hqdefault.jpg
Do we Need Nuclear Energy to Stop Climate Change?,9.3M views,4 years ago,https://www.youtube.com/watch?v=EhAemz1v7dQ,https://i.ytimg.com/vi/EhAemz1v7dQ/hqdefault.jpg
What if the World turned to Gold? - The Gold Apocalypse,15M views,4 years ago,https://www.youtube.com/watch?v=VB_GWz25B3Q,https://i.ytimg.com/vi/VB_GWz25B3Q/hqdefault.jpg
Worst Nuclear Accidents in History,10M views,4 years ago,https://www.youtube.com/watch?v=Jzfpyo-q-RM&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/Jzfpyo-q-RM/hqdefault.jpg
What if We Nuke the Moon?,19M views,4 years ago,https://www.youtube.com/watch?v=qEfPBt9dU60,https://i.ytimg.com/vi/qEfPBt9dU60/hqdefault.jpg
Can You Upload Your Mind & Live Forever?,12M views,4 years ago,https://www.youtube.com/watch?v=4b33NTAuF5E,https://i.ytimg.com/vi/4b33NTAuF5E/hqdefault.jpg
What If Earth got Kicked Out of the Solar System? Rogue Earth,19M views,4 years ago,https://www.youtube.com/watch?v=gLZJlf5rHVs,https://i.ytimg.com/vi/gLZJlf5rHVs/hqdefault.jpg
How Large Can a Bacteria get? Life & Size 3,10M views,4 years ago,https://www.youtube.com/watch?v=E1KkQrFEl2I,https://i.ytimg.com/vi/E1KkQrFEl2I/hqdefault.jpg
Geoengineering: A Horrible Idea We Might Have to Do,11M views,4 years ago,https://www.youtube.com/watch?v=dSu5sXmsur4,https://i.ytimg.com/vi/dSu5sXmsur4/hqdefault.jpg
When Time Became History - The Human Era,9.9M views,4 years ago,https://www.youtube.com/watch?v=CWu29PRCUvQ,https://i.ytimg.com/vi/CWu29PRCUvQ/hqdefault.jpg
"Is It Too Late To Stop Climate Change? Well, it's Complicated.",7.1M views,4 years ago,https://www.youtube.com/watch?v=wbR-5mHI6bo&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/wbR-5mHI6bo/hqdefault.jpg
The Largest Star in the Universe – Size Comparison,34M views,4 years ago,https://www.youtube.com/watch?v=3mnSDifDSxQ,https://i.ytimg.com/vi/3mnSDifDSxQ/hqdefault.jpg
These Ants Use Their Babies As Glue Guns,11M views,4 years ago,https://www.youtube.com/watch?v=B3QTAgHlwEg,https://i.ytimg.com/vi/B3QTAgHlwEg/hqdefault.jpg
Unlimited Resources From Space – Asteroid Mining,10M views,4 years ago,https://www.youtube.com/watch?v=y8XvQNt26KI&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/y8XvQNt26KI/hqdefault.jpg
What Do Alien Civilizations Look Like? The Kardashev Scale,20M views,4 years ago,https://www.youtube.com/watch?v=rhFK5_Nx9xY,https://i.ytimg.com/vi/rhFK5_Nx9xY/hqdefault.jpg
What Is Intelligence? Where Does it Begin?,11M views,5 years ago,https://www.youtube.com/watch?v=ck4RGeoHFko,https://i.ytimg.com/vi/ck4RGeoHFko/hqdefault.jpg
Who Is Responsible For Climate Change? – Who Needs To Fix It?,11M views,5 years ago,https://www.youtube.com/watch?v=ipVxxxqwBQw,https://i.ytimg.com/vi/ipVxxxqwBQw/hqdefault.jpg
Could Solar Storms Destroy Civilization? Solar Flares & Coronal Mass Ejections,15M views,5 years ago,https://www.youtube.com/watch?v=oHHSSJDJ4oo,https://i.ytimg.com/vi/oHHSSJDJ4oo/hqdefault.jpg
The Past We Can Never Return To – The Anthropocene Reviewed,8.8M views,5 years ago,https://www.youtube.com/watch?v=YbgnlkJPga4,https://i.ytimg.com/vi/YbgnlkJPga4/hqdefault.jpg
"Why Are You Alive – Life, Energy & ATP",11M views,5 years ago,https://www.youtube.com/watch?v=QImCld9YubE,https://i.ytimg.com/vi/QImCld9YubE/hqdefault.jpg
The Coronavirus Explained & What You Should Do,89M views,5 years ago,https://www.youtube.com/watch?v=BtN-goy9VOY,https://i.ytimg.com/vi/BtN-goy9VOY/hqdefault.jpg
Why Blue Whales Don't Get Cancer - Peto's Paradox,26M views,5 years ago,https://www.youtube.com/watch?v=1AElONvi9WQ,https://i.ytimg.com/vi/1AElONvi9WQ/hqdefault.jpg
